,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
163,Surab,0,PK,1567366961,36,28.49,66.26,74.06,2.53
164,Jawhar,100,IN,1567366963,94,19.91,73.23,76.04,4.38
165,Bida,100,NG,1567366964,93,9.08,6.02,74.78,4.92
166,Tuatapere,85,NZ,1567366965,83,-46.13,167.69,44.01,4.0
167,Bathurst,0,AU,1567366892,72,-33.42,149.58,42.01,7.0
168,Takoradi,98,GH,1567366968,93,4.89,-1.75,73.52,5.5
169,Lere,81,TD,1567366969,94,9.66,14.23,71.9,0.72
170,Malyye Derbety,0,RU,1567366970,47,47.95,44.68,62.18,6.69
171,Izumo,75,JP,1567366971,100,35.37,132.75,71.6,2.24
172,Dingle,100,PH,1567366972,88,11.0,122.67,72.98,2.8
173,Sanmenxia,1,CN,1567366974,74,34.77,111.19,65.06,3.15
174,Pathalgaon,49,IN,1567366975,93,22.56,83.46,75.68,1.23
175,San Patricio,0,PY,1567366976,62,-26.98,-56.83,61.28,6.58
176,Saldus,0,LV,1567366977,87,56.67,22.49,65.78,8.7
177,Cherskiy,15,RU,1567366904,67,68.75,161.3,37.34,4.47
178,Henties Bay,0,NA,1567366980,95,-22.12,14.28,52.0,5.99
179,Isangel,84,VU,1567366981,86,-19.55,169.27,75.14,21.65
180,Jega,22,NG,1567366982,67,12.22,4.38,82.88,8.32
181,Tsabong,0,BW,1567366983,17,-26.02,22.4,54.62,7.96
182,Kaitangata,93,NZ,1567366874,63,-46.28,169.85,45.0,8.01
183,Salalah,75,OM,1567366986,88,17.01,54.1,80.6,5.82
184,Goderich,62,CA,1567366987,77,43.74,-81.71,71.01,4.0
185,Torbat-e Jam,0,IR,1567366988,35,35.24,60.63,57.86,6.8
186,Vestmanna,57,FO,1567366989,87,62.16,-7.17,48.2,13.87
187,Mach,0,PK,1567366991,62,29.87,67.33,72.62,2.53
188,Gawler,0,AU,1567366809,86,-34.6,138.75,53.01,16.11
189,Chapais,90,CA,1567366993,48,49.78,-74.86,66.2,18.34
190,Mareeba,24,AU,1567366995,77,-16.99,145.42,66.2,11.41
191,Nchelenge,0,ZM,1567366996,46,-9.35,28.74,73.16,7.67
192,Rabo de Peixe,20,PT,1567366997,64,37.8,-25.58,71.01,14.99
193,Kaseda,100,JP,1567366998,94,31.42,130.32,75.0,4.0
194,Coihaique,40,CL,1567366999,39,-45.58,-72.07,48.2,9.17
195,Novoagansk,65,RU,1567367001,97,61.94,76.66,45.44,8.32
196,San Cristobal,49,HN,1567367002,40,14.68,-86.92,87.2,5.53
197,Angoram,97,PG,1567367003,98,-4.06,144.07,72.62,2.04
198,Fort Nelson,90,CA,1567367004,100,58.81,-122.69,48.2,2.77
199,Vardo,90,US,1567367006,64,39.62,-77.74,80.01,4.7
200,Necochea,2,AR,1567367007,64,-38.55,-58.74,45.26,9.13
201,Guerrero Negro,6,MX,1567367008,75,27.97,-114.04,72.98,10.65
202,San Javier,0,BR,1567367009,53,-27.87,-55.13,66.0,1.99
203,Norman Wells,90,CA,1567367011,81,65.28,-126.83,46.4,6.93
204,Ternate,40,PH,1567367012,88,14.29,120.72,79.0,2.24
205,Dosso,23,NE,1567367013,64,13.05,3.19,85.22,8.46
206,Mandaon,100,PH,1567367015,78,12.23,123.28,81.62,11.97
207,Saint George,20,GR,1567366946,53,39.45,22.34,73.4,6.93
208,Urusha,74,RU,1567367017,91,54.05,122.9,43.46,1.77
209,Khajuraho,100,IN,1567367018,84,24.85,79.93,81.08,4.23
210,Nieuw Amsterdam,20,SR,1567367019,44,5.88,-55.08,93.2,6.93
211,Rocha,4,UY,1567366827,72,-34.48,-54.34,45.62,8.99
212,Kangalassy,0,RU,1567367022,93,62.35,129.97,42.8,5.59
213,Coquimbo,0,CL,1567367023,71,-29.95,-71.34,57.2,11.41
214,Srednekolymsk,48,RU,1567367018,51,67.46,153.71,43.28,5.55
215,Canmore,90,CA,1567366726,100,51.09,-115.35,54.0,8.05
216,Belaya Kholunitsa,86,RU,1567367026,78,58.84,50.85,46.88,3.67
217,Jacareacanga,75,BR,1567367028,35,-6.22,-57.76,92.6,4.72
218,Itarema,72,BR,1567367029,77,-2.92,-39.92,78.02,13.62
219,Batken,95,KG,1567367030,29,40.06,70.82,59.84,7.74
220,Boulder City,1,US,1567367031,12,35.98,-114.83,104.0,6.93
221,Chokurdakh,99,RU,1567367033,60,70.62,147.9,45.26,9.1
222,Comodoro Rivadavia,75,AR,1567367034,45,-45.87,-67.48,46.4,14.99
223,Noumea,99,NC,1567367035,94,-22.28,166.46,75.0,1.12
224,Geraldton,90,CA,1567367036,100,49.72,-86.95,57.2,4.7
225,Douglas,20,US,1567367037,51,58.28,-134.39,62.6,4.7
226,Luganville,75,VU,1567367039,94,-15.51,167.18,75.2,3.36
227,Aswan,41,EG,1567367040,15,24.09,32.9,87.2,12.03
228,Khatanga,8,RU,1567367041,95,71.98,102.47,35.18,8.21
229,Kloulklubed,75,PW,1567367042,88,7.04,134.26,78.8,8.05
230,Elk,0,PL,1567367043,76,53.83,22.36,65.42,10.07
231,Moba,0,CD,1567367045,37,-7.04,29.77,67.4,2.57
232,Adrar,50,DZ,1567367046,20,27.87,-0.29,96.8,6.93
233,Fairbanks,1,US,1567366902,66,64.84,-147.72,57.0,9.17
234,Sibu,75,MY,1567367048,94,2.29,111.83,75.2,2.26
235,Havelock,90,US,1567367027,83,34.88,-76.9,84.2,6.93
236,Warwick,40,US,1567367051,53,41.7,-71.42,75.99,9.17
237,Mogadishu,20,SO,1567367052,74,2.04,45.34,78.8,17.22
238,Victoria,75,BN,1567366985,83,5.28,115.24,82.4,2.24
239,Moose Factory,90,CA,1567366825,93,51.26,-80.61,57.2,11.41
240,Emerald,0,AU,1567367056,50,-23.53,148.16,51.8,5.82
241,Healdsburg,1,US,1567366838,45,38.61,-122.87,96.01,5.82
242,Kavaratti,100,IN,1567367058,77,10.57,72.64,82.16,17.76
243,Sakaiminato,75,JP,1567367060,100,35.55,133.23,71.6,2.24
244,Yulara,0,AU,1567366874,23,-25.24,130.99,48.2,5.82
245,Homer,75,US,1567366868,67,59.64,-151.54,62.6,4.7
246,Grand Gaube,20,MU,1567367063,77,-20.01,57.66,69.01,5.82
247,Mehamn,20,NO,1567366895,72,71.03,27.85,62.6,8.05
248,Sibolga,71,ID,1567367066,82,1.74,98.78,81.08,12.3
249,Ayan,72,IR,1567367067,65,38.23,44.7,56.6,3.65
250,Udachnyy,75,RU,1567366958,70,66.42,112.4,48.2,4.47
251,Birin,99,NP,1567367069,92,26.89,88.07,62.9,2.93
252,Katherine,0,AU,1567367070,54,-14.47,132.26,57.2,5.82
253,Juneau,20,US,1567367072,51,58.3,-134.42,62.6,4.7
254,Kalmunai,100,LK,1567367073,70,7.42,81.82,77.3,2.8
255,Umm Kaddadah,0,SD,1567367074,42,13.6,26.69,88.64,10.74
256,Caravelas,12,BR,1567367075,80,-17.73,-39.27,74.24,10.49
257,Jining,100,CN,1567367077,86,35.41,116.58,67.58,1.54
258,Sinnamary,31,GF,1567367078,79,5.38,-52.96,81.44,16.84
259,Doha,0,QA,1567367079,59,25.29,51.53,95.0,4.7
260,Gryazovets,95,RU,1567367080,97,58.88,40.25,56.6,4.43
261,Grindavik,20,IS,1567367082,76,63.84,-22.43,48.2,11.41
262,Biggar,3,CA,1567367083,43,52.06,-107.98,66.5,6.33
263,Rawson,56,AR,1567366959,60,-43.3,-65.11,43.28,26.33
264,Eyl,100,SO,1567367085,77,7.98,49.82,74.24,22.77
265,Anito,100,PH,1567367086,96,12.45,125.29,73.52,3.78
266,Kaoma,40,ZM,1567367088,25,-14.8,24.8,69.02,6.62
267,Bereda,75,ES,1567367089,72,43.27,-7.54,64.99,13.87
268,Los Llanos de Aridane,75,ES,1567367090,69,28.66,-17.92,75.2,12.75
269,Port-Gentil,75,GA,1567367091,88,-0.72,8.78,77.0,13.87
270,Shimoda,54,JP,1567366999,77,34.7,138.93,73.99,1.01
271,Parasia,100,IN,1567367093,97,22.19,78.76,73.16,4.61
272,Atar,39,MR,1567367095,50,20.52,-13.05,89.72,15.03
273,Ribeira Grande,75,PT,1567367096,83,38.52,-28.7,75.2,3.36
274,Niamey,20,NE,1567367097,46,13.52,2.11,93.2,6.93
275,Pontes e Lacerda,12,BR,1567367098,32,-15.23,-59.33,91.88,5.21
276,Kiboga,1,UG,1567367100,90,0.92,31.77,62.36,1.43
277,Oktyabrskiy,71,RU,1567367101,82,55.61,37.97,69.01,2.24
278,Lethem,86,GY,1567367102,53,3.38,-59.8,89.9,4.47
279,La Cruz,35,MX,1567367103,73,23.92,-106.89,88.0,1.99
280,San Roque,20,CO,1567367105,44,6.49,-75.02,87.8,18.34
281,Pangnirtung,75,CA,1567367106,81,66.15,-65.72,48.2,14.99
282,Darhan,93,MN,1567367107,76,49.49,105.92,61.1,3.38
283,Lavrentiya,100,RU,1567367108,96,65.58,-170.99,45.98,11.54
284,Ixtapa,90,MX,1567367110,66,20.71,-105.21,90.0,9.17
285,Clyde River,5,CA,1567367111,70,70.47,-68.59,46.4,14.99
286,Erdaojiang,0,CN,1567367112,97,41.78,126.03,53.36,4.18
287,Saldanha,0,PT,1567366914,48,41.42,-6.55,71.72,11.34
288,Kidal,9,ML,1567367114,21,18.44,1.41,95.48,4.68
289,Severo-Kurilsk,92,RU,1567367116,95,50.68,156.12,49.94,9.08
290,Alofi,96,NU,1567367117,73,-19.06,-169.92,71.6,17.22
291,Misratah,100,LY,1567367118,73,32.38,15.09,81.8,9.08
292,Cabedelo,40,BR,1567367120,78,-6.97,-34.84,80.6,13.87
293,Pereslavl-Zalesskiy,90,RU,1567367121,83,56.74,38.86,58.22,2.57
294,Mitu,0,IR,1567367122,72,36.2,46.09,57.5,0.36
295,Bahir Dar,100,ET,1567367123,96,11.59,37.39,58.04,2.73
296,Souillac,0,FR,1567367125,59,45.6,-0.6,66.2,8.05
297,Hvide Sande,0,DK,1567367126,87,56.01,8.13,55.99,4.7
298,Taoudenni,100,ML,1567367127,25,22.68,-3.98,99.26,17.0
299,Kenora,75,CA,1567367128,72,49.76,-94.48,64.4,8.05
300,Gambela,100,ET,1567367130,75,8.25,34.59,69.92,4.38
301,Zhigansk,99,RU,1567367131,83,66.77,123.37,50.12,7.38
302,Maningrida,100,AU,1567367132,88,-12.05,134.23,57.5,5.64
303,Roald,75,NO,1567367133,87,62.58,6.12,51.8,10.29
304,Carballo,75,ES,1567367135,72,43.21,-8.69,66.99,13.87
305,Sambava,83,MG,1567367136,97,-14.27,50.17,65.06,3.02
306,Batagay-Alyta,100,RU,1567367137,87,67.8,130.41,37.52,2.39
307,Thinadhoo,100,MV,1567367138,77,0.53,72.93,82.88,8.79
308,Faya,0,SA,1567367140,73,18.39,42.45,75.2,3.36
309,Chunskiy,76,RU,1567367141,97,56.08,99.63,50.66,1.97
310,Hoopstad,0,ZA,1567367142,28,-27.83,25.91,48.5,6.24
311,Lompoc,1,US,1567367143,54,34.64,-120.46,100.0,11.41
312,Aland,100,IN,1567367145,90,17.57,76.57,72.62,14.14
313,Dolores,0,UY,1567367146,38,-33.53,-58.22,59.0,11.01
314,Carutapera,65,BR,1567367147,78,-1.2,-46.02,79.64,7.94
315,Kununurra,100,AU,1567367148,81,-15.77,128.74,53.6,1.12
316,San Quintin,100,PH,1567367150,92,17.54,120.52,73.7,4.36
317,Yar-Sale,45,RU,1567367151,86,66.83,70.83,47.6,15.35
318,Corrales,86,CO,1567367152,82,5.83,-72.84,56.6,1.63
319,Ialibu,99,PG,1567367153,99,-6.28,143.99,61.28,0.81
320,Qaqortoq,100,GL,1567367155,66,60.72,-46.03,50.0,5.82
321,Mayo,75,CA,1567367156,47,63.59,-135.9,59.0,2.77
322,Bushehr,0,IR,1567367157,39,28.97,50.84,100.4,11.41
323,Staryy Nadym,100,RU,1567367158,88,65.61,72.68,53.9,12.75
324,Tiksi,100,RU,1567366931,93,71.64,128.87,39.32,7.07
325,Cervo,40,BR,1567367161,44,-22.19,-46.24,78.8,6.33
326,Padang,7,ID,1567367162,84,-0.92,100.36,80.9,17.4
327,Cabo San Lucas,75,MX,1567366971,70,22.89,-109.91,93.0,4.7
328,Lincoln,20,GB,1567367164,66,53.23,-0.54,59.0,9.17
329,Freeport,100,BS,1567367166,74,26.54,-78.7,85.04,32.5
330,Recke,0,DE,1567367167,76,52.37,7.72,62.01,2.24
331,Sjovegan,75,NO,1567367168,60,68.87,17.85,69.8,25.28
332,Sao Miguel do Araguaia,99,BR,1567367169,18,-13.28,-50.16,95.3,5.53
333,Garden City,1,US,1567367171,18,43.62,-116.24,91.0,4.7
334,Ust-Kuyga,100,RU,1567367172,91,70.0,135.55,42.56,2.77
335,Sorong,57,ID,1567367173,89,-0.86,131.25,73.16,7.87
336,Harper,75,US,1567367174,36,30.3,-99.24,93.2,6.93
337,Kattivakkam,40,IN,1567367176,84,13.22,80.32,86.0,4.7
338,Banda Aceh,67,ID,1567367177,81,5.56,95.32,81.62,12.08
339,Olinda,90,AU,1567367178,93,-37.84,145.39,52.0,6.93
340,Acari,90,BR,1567367180,47,-6.44,-36.64,85.58,21.94
341,Patan,20,NP,1567367181,88,27.67,85.33,71.6,3.49
342,Pangody,100,RU,1567367182,89,65.85,74.49,53.9,14.25
343,Muros,75,ES,1567367183,77,42.77,-9.06,68.0,11.41
344,Genhe,52,CN,1567367185,91,50.78,121.52,42.38,1.16
345,Kavieng,100,PG,1567367186,75,-2.57,150.8,83.06,8.61
346,Hay River,75,CA,1567367187,54,60.82,-115.79,57.2,12.75
347,Porto Murtinho,99,BR,1567367189,70,-21.7,-57.88,64.16,3.0
348,Astoria,90,US,1567367190,82,46.19,-123.83,77.0,5.82
349,Ponta do Sol,64,BR,1567367192,35,-20.63,-46.0,77.12,1.81
350,Alexandria,0,RO,1567367195,55,43.97,25.33,63.0,5.93
351,Oranjemund,0,ZA,1567367196,80,-28.55,16.43,57.5,29.12
352,Palatka,5,RU,1567367197,72,60.1,150.94,44.54,3.09
353,Mogzon,67,RU,1567367198,74,51.74,111.97,52.82,3.83
354,Springdale,20,US,1567367035,74,36.19,-94.13,88.0,3.36
355,Santa Lucia,0,IT,1567367201,78,41.98,12.66,79.0,6.93
356,Ikom,100,NG,1567367202,97,5.96,8.72,72.8,3.24
357,Baruun-Urt,43,MN,1567367203,77,46.68,113.28,54.08,2.93
358,Awbari,14,LY,1567367204,24,26.59,12.77,86.66,9.84
359,Avera,40,US,1567367001,66,33.19,-82.53,89.6,9.17
360,Bethel,90,US,1567367207,87,60.79,-161.76,55.4,8.05
361,Zhaotong,100,CN,1567367208,96,27.34,103.71,54.44,3.15
362,Rio Cuarto,0,AR,1567367209,25,-33.13,-64.35,60.8,9.17
363,Sumenep,92,ID,1567367210,92,-7.02,113.87,71.54,6.15
364,Gobabis,0,NA,1567367212,9,-22.45,18.97,59.0,3.36
365,Swan River,94,CA,1567367213,57,52.11,-101.27,56.6,5.73
366,Shawville,38,CA,1567367214,42,45.61,-76.49,77.0,1.01
367,Khandbari,99,NP,1567367216,89,27.38,87.21,59.12,1.19
368,San Carlos de Bariloche,0,AR,1567367217,34,-41.13,-71.31,48.2,21.92
369,Buala,84,SB,1567367218,79,-8.15,159.59,81.62,7.9
370,Nevelsk,75,RU,1567367219,100,46.67,141.86,46.4,16.24
371,Falavarjan,0,IR,1567367221,19,32.56,51.51,78.8,4.7
372,Lazaro Cardenas,40,MX,1567367222,32,28.39,-105.62,87.01,6.93
373,Caohai,100,CN,1567367223,97,26.87,104.28,56.96,3.18
374,Leh,0,IN,1567367224,49,34.16,77.58,46.7,3.74
375,Sjenica,5,RS,1567367226,58,43.27,20.0,57.86,2.57
